名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
花桥雅苑 3室1厅 东南,五津,3室1厅,106.58平米,东南,毛坯,中楼层(共7层),2018年建,板塔结合,56.8万,"5,330元/平",0人关注,4天以前发布
天鹅湖北苑 3室1厅 东南 南,新会展,3室1厅,88.57平米,东南 南,简装,高楼层(共31层),2007年建,板塔结合,156万,"17,614元/平",2人关注,5天以前发布
马鞍山25号 2室1厅 南,金牛万达,2室1厅,57.92平米,南,精装,中楼层(共6层),1996年建,板楼,68.6万,"11,844元/平",1人关注,5天以前发布
金房馨苑 4室2厅 东南 西北,营门口,4室2厅,142.37平米,东南 西北,精装,高楼层(共6层),2003年建,板楼,210万,"14,751元/平",0人关注,8天以前发布
逸都国际 3室1厅 北,大源,3室1厅,117.6平米,北,简装,高楼层(共18层),2011年建,板塔结合,345万,"29,337元/平",0人关注,4天以前发布
蓝光coco国际一期 3室1厅 西南,动物园,3室1厅,71.11平米,西南,精装,高楼层(共33层),2016年建,板塔结合,139万,"19,548元/平",0人关注,8天以前发布
翡翠城四期 4室2厅 东,东湖,4室2厅,188.04平米,东,毛坯,高楼层(共30层),2009年建,塔楼,640万,"34,036元/平",2人关注,6天以前发布
华润银杏华庭 3室1厅 南,五块石,3室1厅,90.82平米,南,精装,低楼层(共20层),2012年建,板塔结合,176万,"19,379元/平",1人关注,7天以前发布
蓝光COCO国际二期 3室1厅 北,动物园,3室1厅,72.47平米,北,精装,中楼层(共28层),2016年建,塔楼,139万,"19,181元/平",0人关注,6天以前发布
新鸿南二巷18号 2室1厅 西南,猛追湾,2室1厅,57.45平米,西南,精装,中楼层(共6层),1997年建,板楼,73.8万,"12,846元/平",0人关注,25天以前发布
国际花园 2室2厅 南,衣冠庙,2室2厅,67.28平米,南,简装,低楼层(共15层),2005年建,板塔结合,120万,"17,836元/平",3人关注,24天以前发布
丽都世家A区 3室2厅 东南,丽都,3室2厅,114.92平米,东南,精装,中楼层(共17层),2014年建,板楼,289万,"25,148元/平",4人关注,23天以前发布
中央花园四期 4室3厅 西北 东南,五大花园,4室3厅,164.8平米,西北 东南,简装,中楼层(共6层),1999年建,板楼,153万,"9,284元/平",0人关注,17天以前发布
蓝光雍锦丽府 5室2厅 北 南,高朋,5室2厅,175.6平米,北 南,精装,低楼层(共16层),2020年建,暂无数据,540万,"30,752元/平",4人关注,1个月以前发布
首创东公元 3室2厅 北,龙泉驿城区,3室2厅,89.54平米,北,精装,高楼层(共34层),2012年建,塔楼,155万,"17,311元/平",0人关注,28天以前发布
蓝光金悦府 3室2厅 东,动物园,3室2厅,110.5平米,东,精装,中楼层(共24层),2017年建,塔楼,175万,"15,838元/平",3人关注,20天以前发布
正成拉斐 3室2厅 东南,国宾,3室2厅,102.5平米,东南,精装,高楼层(共18层),2012年建,塔楼,200万,"19,513元/平",0人关注,21天以前发布
远大中央公园 3室1厅 南,南湖,3室1厅,86.62平米,南,精装,低楼层(共33层),2018年建,板塔结合,215万,"24,822元/平",9人关注,31天以前发布
潮蓉花园 3室2厅 东南,府南新区,3室2厅,110.6平米,东南,简装,高楼层(共6层),2000年建,板楼,160万,"14,467元/平",2人关注,28天以前发布
印象金沙 3室1厅 东南,金沙,3室1厅,103平米,东南,简装,低楼层(共11层),2007年建,板塔结合,190万,"18,447元/平",3人关注,20天以前发布
花样年智荟城 4室1厅 东南,崇州,4室1厅,139.67平米,东南,精装,中楼层(共20层),2020年建,板塔结合,99万,"7,089元/平",2人关注,19天以前发布
恒大天府半岛二期 4室2厅 东南 南,锦江生态带,4室2厅,135.34平米,东南 南,精装,中楼层(共39层),2016年建,板楼,245万,"18,103元/平",6人关注,23天以前发布
金色花园一期 3室2厅 南,红牌楼,3室2厅,144.83平米,南,精装,高楼层(共7层),2003年建,板楼,205万,"14,155元/平",7人关注,22天以前发布
溪地湾 3室1厅 西南,犀浦,3室1厅,88.91平米,西南,精装,高楼层(共33层),2015年建,塔楼,125万,"14,060元/平",0人关注,30天以前发布
比华利国际城三期 3室1厅 西北,川师,3室1厅,89.9平米,西北,精装,高楼层(共22层),2014年建,板楼,256万,"28,477元/平",5人关注,18天以前发布
北大资源燕楠国际 4室2厅 南 北,蛟龙港,4室2厅,108.67平米,南 北,精装,高楼层(共13层),2017年建,板塔结合,195万,"17,945元/平",7人关注,26天以前发布
恒大天府半岛二期 4室2厅 东南,锦江生态带,4室2厅,186.47平米,东南,毛坯,低楼层(共18层),2017年建,板楼,360万,"19,307元/平",0人关注,29天以前发布
